alternating,3,6,Game Condensed,Game Cited,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26
0,3,6,Wii Fit Aerobics,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Miyachi2010MetsStudy,White2011EnergyGames,Grieser2012DeterminingIndividuals,ODonovan2012ActiveAdults,ODonovan2014ActiveFibrosis,ODonovan2014TheWeight,Lau2015EvaluatingChildren,Santo2016PhysiologicalPlay}\end{tabularx} } &\begin{small}Wii Fit Aerobics\end{small}   \end{tabularx} },1.7,2.43,2.64,2.7,2.7,2.9,2.9,3,3.1,3.1,3.2,3.3,3.3,3.9,4,4,4.2,4.44,4.6,4.87,5.1,5.26,5.35,5.9,6.04,
1,3,6,Wii Fit Balance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Miyachi2010MetsStudy,White2011EnergyGames,Tripette2014WiiAdults}\end{tabularx} } &\begin{small}Wii Fit Balance\end{small}   \end{tabularx} },1.3,1.4,1.65,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.7,2.8,2.8,3,3.5,3.9,,
0,3,6,Wii Fit Resistance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Miyachi2010MetsStudy,Grieser2012DeterminingIndividuals}\end{tabularx} } &\begin{small}Wii Fit Resistance\end{small}   \end{tabularx} },1.7,2.1,2.5,2.6,2.8,2.9,3,3,3.1,3.2,3.38,3.48,3.5,3.6,4,4,5.6,,,,,,,,,
1,3,6,Wii Fit Yoga,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Miyachi2010MetsStudy,Grieser2012DeterminingIndividuals}\end{tabularx} } &\begin{small}Wii Fit Yoga\end{small}   \end{tabularx} },1.3,1.6,1.7,1.8,1.8,2,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.44,2.5,2.6,2.68,2.9,,,,,,
0,3,6,Wii Just Dance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bronner2013EnergyPlayers}\end{tabularx} } &\begin{small}Wii Just Dance\end{small}   \end{tabularx} },4.2,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Wii Sports Baseball,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Willems2009ComparisonWalking,Miyachi2010MetsStudy,ODonovan2012ActiveAdults}\end{tabularx} } &\begin{small}Wii Baseball\end{small}   \end{tabularx} },2,2.8,3,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Wii Sports Bowling,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Graves2008TheWii,Graf2009PlayingChildren,Miyachi2010MetsStudy,White2011EnergyGames,Taylor2012ActivityGames,Howcroft2012ActiveTherapies,Gaffurini2013EnergyPromotion}\end{tabularx} } &\begin{small}Wii Bowling\end{small}   \end{tabularx} },1.46,1.62,1.9,2.03,2.14,2.2,2.6,2.7,2.9,,,,,,,,,,,,,,,,,
1,3,6,Wii Sports Boxing,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Graves2008TheWii,Barkley2009PhysiologicAdults,Graf2009PlayingChildren,LanninghamFoster2009ActivityPromotingExpenditure,Willems2009ComparisonWalking,Hurkmans2010EnergySports,Miyachi2010MetsStudy,Bailey2011EnergyExergaming,Jordan2011OnlyExpenditure,Sell2011EnergyActivities,White2011EnergyGames,Sanders_2011,Howcroft2012ActiveTherapies,ODonovan2012ActiveAdults,ODonovan2012EnergyModes,Taylor2012ActivityGames,Gaffurini2013EnergyPromotion,ODonovan2014ActiveFibrosis,ODonovan2014TheWeight,scheer2014wii}\end{tabularx} } &\begin{small}Wii Boxing\end{small}   \end{tabularx} },2.26,2.46,2.628571429,2.67,2.72,2.79,2.81,2.99,3,3.05,3.14,3.2,3.36,3.36,3.8,3.89,3.9,3.9,4.2,4.2,4.4,4.6,4.7,5,5.14,5.5
0,3,6,Wii Sports Golf,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Miyachi2010MetsStudy}\end{tabularx} } &\begin{small}Wii Golf\end{small}   \end{tabularx} },2,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Wii Sports Tennis,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Graves2008TheWii,Willems2009ComparisonWalking,Hurkmans2010EnergySports,Miyachi2010MetsStudy,White2011EnergyGames,ODonovan2012ActiveAdults,Taylor2012ActivityGames,Howcroft2012ActiveTherapies,Gaffurini2013EnergyPromotion,Simons2014EnergyChildren,Bhm2016BodyVideogames}\end{tabularx} } &\begin{small}Wii Tennis\end{small}   \end{tabularx} },2,2.1,2.16,2.42,2.6,2.7,2.8,3,3.1,3.4,4.5,,,,,,,,,,,,,,,
0,3,6,Xavix Bowling,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Mellecker2008EnergyChildren}\end{tabularx} } &\begin{small}Xavix Bowling\end{small}   \end{tabularx} },3.6,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Xavix J-Mat,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Mellecker2008EnergyChildren,Bailey2011EnergyExergaming}\end{tabularx} } &\begin{small}Xavix J-Mat\end{small}   \end{tabularx} },7,9,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Xerbike,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Simons2014EnergyChildren}\end{tabularx} } &\begin{small}Xerbike\end{small}   \end{tabularx} },6.1,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Zigzag Xer-Dance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Fawkner2010AdolescentGaming}\end{tabularx} } &\begin{small}Zigzag Xer-Dance\end{small}   \end{tabularx} },3.63,3.65,4.14,,,,,,,,,,,,,,,,,,,,,,,
